id,hue,saturation,value,svsum,grid_x,grid_y
1747_img_proj_5ab5083975cf6,0.0,0.0,0.0,0.0,0,0
1230_img_proj_549643b88f342,0.0,0.0,0.0015319525026807,0.0015319525026807,0,1
1610_img_proj_593fcdb4e7edf,0.0,0.0,0.0097874899471439,0.0097874899471439,0,2
1910_img_proj_5c59f0df250c0,0.0,0.0,0.0117449053595995,0.0117449053595995,0,3
1230_img_proj_549643fe8fb33,0.0,0.0,0.0130573945886955,0.0130573945886955,0,4
1920_img_proj_5c5a11604d67e,0.0,0.0,0.0192528040268906,0.0192528040268906,0,5
1747_img_proj_5ab50850b9151,0.0,0.0,0.0349577481139172,0.0349577481139172,0,6
2209_img_proj_60393b9497cbb,0.0,0.0,0.0871658004884128,0.0871658004884128,0,7
2330_img_proj_619d2c4658253,0.0,0.0,0.092547813578366,0.092547813578366,0,8
1934_img_proj_5c5a2a6d8fdee,0.0,0.0,0.126089543361333,0.126089543361333,0,9
2322_img_proj_6194081a72152,0.0,0.0,0.1380605361046618,0.1380605361046618,0,10
2215_img_proj_60523eb431854,0.0,0.0,0.1569782757286742,0.1569782757286742,0,11
2215_img_proj_60523f143e675,0.0,0.0,0.1591913410256519,0.1591913410256519,0,12
2322_img_proj_6194081eb2b21,0.0,0.0,0.1615041246601578,0.1615041246601578,0,13
2322_img_proj_6194083b39873,0.0,0.0,0.1615392310963148,0.1615392310963148,0,14
1747_img_proj_5ab508086dd4e,0.0,0.0,0.1694781494137334,0.1694781494137334,0,15
2215_img_proj_60523eb8af99a,0.0,0.0,0.1696631427467052,0.1696631427467052,0,16
1747_img_proj_5ab50804d1091,0.0,0.0,0.1747020227764716,0.1747020227764716,0,17
1900_img_proj_5c59ceb6b599d,0.0,0.0,0.1749788411458654,0.1749788411458654,0,18
2209_img_proj_60393b93d1354,0.0,0.0,0.1854717583022247,0.1854717583022247,0,19
2095_img_proj_5e3454c4a502e,0.0,0.0,0.1890204531192595,0.1890204531192595,0,20
1929_img_proj_5c5a20f281fe7,0.0,0.0,0.196186559340542,0.196186559340542,0,21
1929_img_proj_5c5a20f3100fd,0.0,0.0,0.196186559340542,0.196186559340542,0,22
2201_img_proj_605a1e5f7c83b,0.0,0.0,0.2058486723467154,0.2058486723467154,0,23
2333_img_proj_619d24013c68b,0.0,0.0,0.2195148749155348,0.2195148749155348,0,24
2333_img_proj_619d23f0e5dc1,0.0,0.0,0.2195304787863319,0.2195304787863319,0,25
2282_img_proj_615c95423998b,0.0,0.0,0.227861164769518,0.227861164769518,0,26
1747_img_proj_5ab5084fb204e,0.0,0.0,0.228116712383808,0.228116712383808,0,27
1747_img_proj_5ab5080c0ab51,0.0,0.0,0.2557402248010513,0.2557402248010513,0,28
1747_img_proj_5ab50851ddc0d,0.0,0.0,0.2694929235126828,0.2694929235126828,0,29
2059_img_proj_5df7e11f21f13,0.0,0.0,0.2761869662417789,0.2761869662417789,0,30
1032_img_proj_526fec0d2d0da,0.0,0.0,0.2829513130938481,0.2829513130938481,0,31
2084_img_proj_5dfba43655727,0.0,0.0,0.2970834230912022,0.2970834230912022,0,32
1794_img_proj_5b5f4700d8637,0.0,0.0,0.3000683414233456,0.3000683414233456,0,33
2084_img_proj_5dfba434010dc,0.0,0.0,0.3020259423352156,0.3020259423352156,0,34
2322_img_proj_619408eb3f0ce,0.0,0.0,0.3035980829526124,0.3035980829526124,0,35
1829_img_proj_5b6a0753a6b1d,0.0,0.0,0.3043329096785038,0.3043329096785038,0,36
2184_img_proj_60343c664bc80,0.0,0.0,0.3054093753602153,0.3054093753602153,0,37
2236_img_proj_60ece1a7e4fce,0.0,0.0,0.3066911585188354,0.3066911585188354,0,38
1747_img_proj_5ab5085547fa6,0.0,0.0,0.3084590896907219,0.3084590896907219,0,39
1747_img_proj_5ab508546b972,0.0,0.0,0.3109803981408212,0.3109803981408212,0,40
1829_img_proj_5b6a07548a41a,0.0,0.0,0.3136801207309722,0.3136801207309722,0,41
1747_img_proj_5ab5085ebb801,0.0,0.0,0.3167638023221926,0.3167638023221926,0,42
1747_img_proj_5ab5085391f48,0.0,0.0,0.3196545769188287,0.3196545769188287,0,43
1769_img_proj_5b5cd92f1a8bc,0.0,0.0,0.3303387810207809,0.3303387810207809,0,44
1747_img_proj_5ab508231ac4e,0.0,0.0,0.3308612299887125,0.3308612299887125,0,45
2084_img_proj_5dfba4382de62,0.0,0.0,0.3321772975550817,0.3321772975550817,0,46
2322_img_proj_619408ea147e9,0.0,0.0,0.3328313182321143,0.3328313182321143,0,47
2059_img_proj_5df7e11e7e29f,0.0,0.0,0.3421737491386435,0.3421737491386435,0,48
1818_img_proj_5b69fba8a829c,0.0,0.0,0.3604302739161229,0.3604302739161229,0,49
1735_img_proj_5a9835bd1d314,0.0,0.0,0.3680889294198531,0.3680889294198531,0,50
